Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
7.8,16,10,92,64,5.8,No,8,62597,88,162.1
7.6,16,28,74,40,6.7,No,13,61989,65,181.1
8.5,17,10,83,48,9.4,No,10,54205,75,187
7.4,17,10,94,73,7.1,Yes,13,53745,69,176.2
4,17,15,75,47,9.2,Yes,22,35149,53,230.8
8.8,17,9,94,75,7.4,No,11,73271,96,177.7
7,17,20,79,51,7.1,No,19,39916,75,162.9
7.2,17,22,79,53,6.8,No,16,49755,72,167.6
8.1,17,8,89,44,8.8,No,13,52065,79,202.7
6.7,17,20,79,38,7.8,Yes,15,47019,79,221.3
8.7,17,9,85,60,7.1,Yes,8,60441,74,173.4
7.3,17,9,78,42,7.5,No,18,39143,85,245.6
6.3,18,9,87,52,9.7,No,18,49582,79,237.1
4.7,18,11,95,74,5.1,No,13,50821,79,123
7.5,18,9,90,46,5.5,No,15,48846,79,164.2
1.8,18,9,91,58,4.5,No,16,40618,88,114
7.6,18,13,81,47,7.9,No,15,40818,67,209.3
7.8,18,13,87,68,6.4,Yes,15,50813,78,203.3
6.9,18,14,78,38,7.6,No,16,38877,64,342.7
5.9,18,14,89,50,9.3,No,12,45927,85,168.3
4.2,18,18,86,57,5.2,No,19,50686,78,111.9
8.2,18,10,84,57,7.8,Yes,9,63567,77,152.5
5.5,19,18,80,38,8.2,No,18,41969,76,268.2
7.4,19,19,81,38,7.7,No,17,39256,79,228.3
7.4,19,16,80,44,8.9,No,17,38783,60,196.8
7.5,19,23,75,45,7.7,No,12,53910,72,160.3
6.2,19,9,72,54,7.6,No,23,33253,73,223.5
6.8,19,9,78,41,8.3,No,20,39288,77,237.8
6.3,19,16,77,52,9.1,Yes,18,41060,68,308.8
7.3,19,14,83,46,8.4,No,14,53523,80,161.5
6.6,19,26,82,46,9.5,Yes,18,52878,78,178.4
6.8,20,18,86,40,5.1,No,13,56012,73,120.3
7.3,20,16,92,59,7.7,Yes,14,51201,77,137.8
